Inglise,Eesti,Vene,Context(Drupali jaoks vajalik)
Food menu,Toidumenüü,Меню питания,
Lessons schedule,Tundide ajad,Расписание уроков,
Entry,Sisseastumine,Поступление,
News,Uudised,Новости,
Events,Sündmused,События,
Gallery,Galeriid,Галерея,
Trainings,Koolitused,Тренинги,
Partners,Koostööpartnerid,Партнеры по сотрудничеству,
Recognitions,Tunnustused,Признание,
Our story,Meie lood,Наша история,
Whole school,Kogu kool,Вся школа,
Rules of Procedure,Sisekorraeeskiri,Правила внутреннего распорядка,
Look more,Vaata rohkem,Посмотреть больше ,
Open galleries,Ava galerii,Открыть галерею,
Look at all trainings,Vaata kõik koolitused,Показать все тренинги,
Look  at all events,Vaata kõik sündmused,Посмотреть все события,
Open news,Ava uudis,Открыть новости,
Studies,Õppimine,Обучение,
Student life,Õppija elu,Школьная жизнь,
About us,Meie koolist,О нас,
Week, Nädal, ,
Events calendar, Sündmuste kalender, Календарь событий,
Training calendar, Koolituste kalender,Календарь тренировок,
Tomorrow, Homme, Завтра,
About food provider, Toitlustuse pakkuja, Кейтеринг,
News, Uudised, Новости,
Follow us, Jälgi meid, Подписывайтесь на нас,
Location info, Asukoha informatsioon, Информация о местоположении,
Contact card, Kontaktandmed, Контакты,
More news, Rohkem uudiseid, Больше новостей,
